FID,the_geom,SD_Pcode,D_Pcode,District,TS_Pcode,Township,Town_Pcode,Town_MM,Town,State_Divi,Longitude,Latitude,Level,Source,Lat_Long,Remark
mmr_town_january_2020.76,POINT (98.3031 24.0998),MMR015,MMR015D002,Muse,MMR015009,Muse,MMR015009702,မုန်းကိုး,Monekoe,Shan (North),98.3031,24.0998,Other Town,"GAD, Mar 2015","24.0998,98.3031",
mmr_town_january_2020.77,POINT (98.29333 20.75728),MMR014,MMR014D003,Langkho,MMR014019,Mongnai,MMR014019702,ကျိုင်းတောင်း,Kengtawng,Shan (South),98.29333,20.75728,Other Town,"GAD, Mar 2015","20.75728,98.29333",
mmr_town_january_2020.78,POINT (98.2704868075 26.1541860735),MMR001,MMR001D001,Myitkyina,MMR001006,Tsawlaw,MMR001006701,ဆော့လော်,Tsawlaw,Kachin,98.27048681,26.15418607,Main Town,"GAD, Mar 2015","26.1541860735,98.2704868075",
mmr_town_january_2020.79,POINT (98.2625154665 13.8687046239),MMR006,MMR006D001,Dawei,MMR006003,Thayetchaung,MMR006003701,သရက်ချောင်း,Thayetchaung,Tanintharyi,98.26251547,13.86870462,Main Town,"GAD, Mar 2015","13.8687046239,98.2625154665",
mmr_town_january_2020.80,POINT (98.23996 16.55553),MMR003,MMR003D003,Kawkareik,MMR003006,Kawkareik,MMR003006701,ကော့ကရိတ်,Kawkareik,Kayin,98.23996,16.55553,District Capital,"GAD, Mar 2015","16.55553,98.23996",
mmr_town_january_2020.81,POINT (98.19636 14.07753),MMR006,MMR006D001,Dawei,MMR006001,Dawei,MMR006001701,ထားဝယ်,Dawei,Tanintharyi,98.19636,14.07753,State/Region Capital,"GAD, Mar 2015","14.07753,98.19636",
mmr_town_january_2020.82,POINT (98.1384944066 14.6237968178),MMR006,MMR006D001,Dawei,MMR006004,Yebyu,MMR006004702,ကလိန်အောင်,Kaleinaung,Tanintharyi,98.13849441,14.62379682,Other Town,"GAD, Mar 2015","14.6237968178,98.1384944066",
mmr_town_january_2020.83,POINT (98.12976 25.88635),MMR001,MMR001D001,Myitkyina,MMR001005,Chipwi,MMR001005701,ချီဖွေ,Chipwi,Kachin,98.12976,25.88635,Main Town,"GAD, Mar 2015","25.88635,98.12976",
mmr_town_january_2020.84,POINT (98.12322 16.04079),MMR003,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,MMR003007701,ကြာအင်းဆိပ်ကြီး,Kyainseikgyi,Kayin,98.12322,16.04079,Main Town,"GAD, Mar 2015","16.04079,98.12322",
mmr_town_january_2020.85,POINT (98.123 21.645),MMR014,MMR014D002,Loilen,MMR014015,Kyethi,MMR014015702,မိုင်းနောင်,Mongnawng,Shan (South),98.123,21.645,Other Town,"GAD, Mar 2015","21.645,98.123",
mmr_town_january_2020.86,POINT (98.11963 13.97522),MMR006,MMR006D001,Dawei,MMR006002,Launglon,MMR006002701,လောင်းလုံး,Launglon,Tanintharyi,98.11963,13.97522,Main Town,"GAD, Mar 2015","13.97522,98.11963",
mmr_town_january_2020.87,POINT (98.11739 25.40319),MMR001,MMR001D001,Myitkyina,MMR001002,Waingmaw,MMR001002703,ကန်ပိုက်တီ,Kan Paik Ti,Kachin,98.11739,25.40319,Other Town,"GAD, Mar 2015","25.40319,98.11739",
mmr_town_january_2020.88,POINT (98.10086 21.09887),MMR014,MMR014D002,Loilen,MMR014013,Nansang,MMR014013702,ခိုလမ်,Kho Lam,Shan (South),98.10086,21.09887,Other Town,"GAD, Mar 2015","21.09887,98.10086",
mmr_town_january_2020.89,POINT (98.09862 23.57597),MMR015,MMR015D002,Muse,MMR015011,Kutkai,MMR015011702,တာမိုးညဲ,Tarmoenye,Shan (North),98.09862,23.57597,Other Town,"GAD, Mar 2015","23.57597,98.09862",
mmr_town_january_2020.90,POINT (98.06229 24.07548),MMR015,MMR015D002,Muse,MMR015009,Muse,MMR015009704,ပန်ဆိုင်း (ကြူကုတ်),Pang Hseng (Kyu Koke),Shan (North),98.06229,24.07548,Other Town,"GAD, Mar 2015","24.07548,98.06229",
mmr_town_january_2020.91,POINT (98.0389972 22.4276179),MMR015,MMR015D001,Lashio,MMR015003,Mongyai,MMR015003701,မိုင်းရယ်,Mongyai,Shan (North),98.0389972,22.4276179,Main Town,"GAD, Mar 2015","22.4276179,98.0389972",
mmr_town_january_2020.92,POINT (98.2029072628 14.245909857),MMR006,MMR006D001,Dawei,MMR006004,Yebyu,MMR006004701,ရေဖြူ,Yebyu,Tanintharyi,98.20290726,14.24590986,Main Town,"GAD, Mar 2015","14.245909857,98.2029072628",
mmr_town_january_2020.93,POINT (98.00371 20.34222),MMR014,MMR014D003,Langkho,MMR014018,Langkho,MMR014018701,လင်းခေး,Langkho,Shan (South),98.00371,20.34222,District Capital,"GAD, Mar 2015","20.34222,98.00371",
mmr_town_january_2020.94,POINT (97.9859650047 17.0216995839),MMR003,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,MMR003002702,ပိုင်ကျုံ,Paingkyon,Kayin,97.985965,17.02169958,Other Town,"GAD, Mar 2015","17.0216995839,97.9859650047",
mmr_town_january_2020.95,POINT (97.979 19.769),MMR014,MMR014D003,Langkho,MMR014018,Langkho,MMR014018702,ဟိုမိန်း,Homein,Shan (South),97.979,19.769,Other Town,"GAD, Mar 2015","19.769,97.979",
mmr_town_january_2020.96,POINT (97.9736 23.3072),MMR015,MMR015D001,Lashio,MMR015002,Hseni,MMR015002701,သိန္နီ,Hseni,Shan (North),97.9736,23.3072,Main Town,"GAD, Mar 2015","23.3072,97.9736",
mmr_town_january_2020.97,POINT (97.94341 23.45921),MMR015,MMR015D002,Muse,MMR015011,Kutkai,MMR015011701,ကွတ်ခိုင်,Kutkai,Shan (North),97.94341,23.45921,Main Town,"GAD, Mar 2015","23.45921,97.94341",
mmr_town_january_2020.98,POINT (97.90165 23.98989),MMR015,MMR015D002,Muse,MMR015009,Muse,MMR015009701,မူဆယ်,Muse,Shan (North),97.90165,23.98989,District Capital,"GAD, Mar 2015","23.98989,97.90165",
mmr_town_january_2020.99,POINT (97.88778 17.42438),MMR003,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,MMR003002703,ရှမ်းရွာသစ်,Shan Ywar Thit,Kayin,97.88778,17.42438,Other Town,"GAD, Mar 2015","17.42438,97.88778",
mmr_town_january_2020.100,POINT (97.8999605316 25.397088956),MMR001,MMR001D001,Myitkyina,MMR001002,Waingmaw,MMR001002702,ဆဒုံး,Sadung,Kachin,97.89996053,25.39708896,Other Town,"GAD, Mar 2015","25.397088956,97.8999605316",
