,Filename,PDF Link,Title
84,4-2008.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/4-2008_0.pdf,Socio-economic and Environmental Conditions of Forest Dependent Local Communities A Case Study: Sinthe Dam Watershed Area in Tatkon Township
85,012(2006).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/012%282006%29_0.pdf,Preliminary Study on the Natural Durability of Lesser-Known Wood Species
86,06(2006).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/06%282006%29_2.pdf,"Soil Conditions of Degraded Natural Forest and Teak Plantations with Particular Reference to Ngalaik Reserved Forest, Pyinmana"
87,05(2006).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/05%282006%29_2.pdf,Yield Tables for Plantations of Xylia xylocarpa (Pyinkado) in Myanmar
88,03(2006).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/03%282006%29_2.pdf,"Investigation on Chemical, Physical and Mechanical Properties of Some Myanmar Bamboo Species"
89,11(2004).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/11%282004%29_0.pdf,PRELIMINARY STUDY ON PHYSICAL AND MECHANICAL PROPERTIES OF YINMA (CHUKRASIA VELUTINA)
90,10(2004).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/10%282004%29_0.pdf,THE EFFECTIVENESS OF BFCA AND CCA WOOD PRESERVATIVES ON THE DURABILITY OF TEN LESSER-USED TIMBER SPECIES OF MYANMAR
91,08(2004).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/08%282004%29.pdf,GROWTH PERFORMANCE OF TEAK PROVENANCE TRIALS ESTABLISHED IN BAGO YOMA: EVALUATION AT THE 5TH YEAR AFTER PLANTING
92,05(2004).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/05%282004%29_0.pdf,PEOPLE PARTICIPATION THROUGH DECENTRALIZED FOREST MANAGEMENT TOWARDS SUSTAINABLE FORESTRY DEVELOPMENT – A RETROSPECTIVE REVIEW -
93,1(1987).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/1%281987%29_0.pdf,Investigation on the Suitability of some Tropical Pines for Plantation Establishment in the Shan State Area
94,Leaflet No.30. Myint Myint San.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.30.%20Myint%20Myint%20San.pdf,"Study on Distribution and Medicinal Values of Wild Orchids in Matu Pe Township, Southern Chin State"
95,Leaflet No.29. Dr. Chaw Chaw Sein.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.29.%20Dr.%20Chaw%20Chaw%20Sein.pdf,Assessing Different Land Use Pattern and Livelihood of the Local People in the Mangrove Area (Case Study in Pyapon Township)
96,Leaflet No.28. Myint Myint San.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.28.%20Myint%20Myint%20San.pdf,"Study on Distribution and, Medicinal Uses of Some Plant Species in Natma Taung National Park, Southern Chin State"
97,Leaflet No.27. Dr.Tin Min Maung.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.27.%20Dr.Tin%20Min%20Maung.pdf,Up-scaling Community Forestry in Myanmar From Basic Needs to Commercialization
98,Leaflet No.26. Kyi Kyi Khaing.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.26.%20Kyi%20Kyi%20Khaing_0.pdf,"Morphological, Anatomical Characteristics and Uses of Three Myanmar Species of the Genus Rhododendron from Nat Ma Taung National Park, Chin State"
99,Leaflet No.25. Kyaw Win Maung.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.25.%20Kyaw%20Win%20Maung.pdf,"Comparison on morphological and anatomical characteristics of Byuspecies found in Bogalay and Pathein Township, Ayeyawady Region"
100,Leaflet No.24. Dr. Nyunt Khaing.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.24.%20Dr.%20Nyunt%20Khaing.pdf,Prosopis juliflora as a Bio‐indicator of Dryland Salinity in Central Myanmar
101,Leaflet No.23. Phyu Phyu Swe.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.23.%20Phyu%20Phyu%20Swe.pdf,A Comparative Study of the Physio-chemical Properties in Soil Profile Under Different Forest Types
102,Leaflet No.22. Billy Ne Win.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.22.%20Billy%20Ne%20Win.pdf,Study on Soil Erosion in Abandon Shifting Cultivations in Bago Yoma Watershed Areas
103,Leaflet No.21. Dr. Rosy Ne Win.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.21.%20Dr.%20Rosy%20Ne%20Win.pdf,"Analysis of Shifting Cultivation Practices and Teak Regeneration and Soil Nutrient on Fallow Lands in Bago Mountains, Myanmar"
104,Leaflet No.20. Pyae Pyae Win.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.20.%20Pyae%20Pyae%20Win.pdf,Study on Sterilization Methods and Shoot Formation of Teak ( Tectona grandis L.f.) Tissue Culture
